ticket_id,ticket_text,tenure,department,priority
TKT00288,request support problem platform password profile payment,29,Account,Medium
TKT00289,team service issue support api bug improvement,18,Tech,Medium
TKT00290,team support service problem issue quotation plan payment,42,Sales,Medium
TKT00291,platform service issue problem system password access error,11,Account,Medium
TKT00292,customer service issue problem platform feature suggestion authentication,6,Feedback,Medium
TKT00293,platform team issue request system suggestion review upgrade,34,Feedback,Medium
TKT00294,problem support team issue service invoice refund upgrade,34,Billing,Medium
TKT00295,issue request system platform customer charge subscription profile,54,Billing,Medium
TKT00296,issue service request problem support error api pricing,16,Tech,Medium
TKT00297,support service platform error server experience,39,Tech,Medium
TKT00298,system support issue platform request pricing upgrade error,58,Sales,Medium
TKT00299,help platform problem issue support feature improvement refund,21,Feedback,Medium
TKT00300,help problem system issue quotation plan bug,59,Sales,Medium
TKT00301,issue request problem system review experience server,44,Feedback,Medium
TKT00302,service team help platform issue improvement review payment,32,Feedback,Medium
TKT00303,system request issue team plan quotation crash,8,Account,High
TKT00304,system problem customer team demo quotation profile,12,Sales,Medium
TKT00305,team help customer service charge invoice api,17,Billing,Low
TKT00306,support team help issue request crash error charge,49,Sales,High
TKT00307,problem help support issue server api refund,40,Tech,Medium
TKT00308,system customer support crash server improvement,35,Tech,High
TKT00309,platform help request support system api server feature,45,Tech,Medium
TKT00310,service team customer request issue improvement suggestion access,53,Feedback,Medium
TKT00311,customer request team help feature improvement login,2,Feedback,Low
TKT00312,service system customer password login quotation,23,Account,Low
TKT00313,service issue help platform support upgrade quotation authentication,4,Sales,Medium
TKT00314,team system support quotation plan improvement,7,Sales,Low
TKT00315,problem system help support bug crash suggestion,20,Tech,High
TKT00316,customer team problem request service charge refund error,46,Billing,Medium
TKT00317,system issue request support bug server experience,35,Tech,Medium
TKT00318,service support platform problem customer password access charge,24,Account,Medium
TKT00319,request customer team problem profile login bug,16,Account,Medium
TKT00320,request support help problem service login password crash,34,Account,High
TKT00321,problem request help system customer profile authentication subscription,5,Account,Medium
TKT00322,issue service team review suggestion plan,16,Feedback,Medium
TKT00323,team platform help problem server api access,50,Tech,Medium
TKT00324,support issue team bug api authentication,14,Tech,Medium
TKT00325,team support system problem help refund payment review,29,Billing,Medium
TKT00326,platform system request access authentication invoice,50,Account,Medium
TKT00327,team service help payment charge feature,5,Billing,Low
TKT00328,service platform support customer review improvement quotation,38,Feedback,Medium
TKT00329,system issue service request experience review payment,56,Feedback,Medium
TKT00330,service team support customer authentication login subscription,12,Account,Low
TKT00331,customer system problem support help demo pricing suggestion,34,Sales,Medium
TKT00332,issue request platform customer service bug api improvement,39,Tech,Medium
TKT00333,team system issue demo quotation improvement,17,Sales,Medium
TKT00334,issue system service customer request plan demo subscription,53,Sales,Medium
TKT00335,system service customer help support quotation demo invoice,22,Sales,Low
TKT00336,service platform help problem login authentication api,19,Account,Medium
TKT00337,service problem platform issue demo quotation api,7,Sales,Medium
TKT00338,problem customer issue system team server crash pricing,12,Tech,High
TKT00339,support platform help team quotation plan review,42,Sales,Medium
TKT00340,platform service system help request password authentication refund,44,Account,Medium
TKT00341,platform team system service problem invoice subscription experience,33,Billing,Medium
TKT00342,support system service issue payment subscription error,6,Billing,Medium
TKT00343,service problem customer platform upgrade demo invoice,40,Sales,Medium
TKT00344,platform help support access password demo,39,Account,Medium
TKT00345,problem service team help request authentication password bug,33,Account,Medium
TKT00346,platform issue customer support quotation upgrade authentication,45,Sales,Medium
TKT00347,service issue customer platform team quotation upgrade experience,10,Sales,Medium
TKT00348,service support customer help improvement experience upgrade,10,Feedback,Low
TKT00349,service system problem password login review,45,Account,Medium
TKT00350,system platform team support refund payment api,22,Feedback,Low
TKT00351,team platform service system api crash login,59,Tech,High
TKT00352,customer platform system service subscription payment quotation,12,Billing,Low
TKT00353,support help platform problem customer error bug authentication,19,Tech,Medium
TKT00354,problem support help customer server bug plan,53,Billing,Medium
TKT00355,problem platform team service quotation plan charge,49,Sales,Medium
TKT00356,platform issue system service support crash error demo,11,Tech,High
TKT00357,issue problem support suggestion experience access,38,Feedback,Medium
TKT00358,customer service request authentication access feature,59,Account,Medium
TKT00359,system help platform issue login authentication api,7,Account,Medium
TKT00360,problem platform request issue plan pricing refund,54,Sales,Medium
TKT00361,support customer request help system improvement suggestion upgrade,2,Feedback,Low
TKT00362,request platform team service error server profile,13,Tech,Medium
TKT00363,platform request system support bug error access,47,Tech,Medium
TKT00364,support request team system problem review improvement payment,17,Feedback,Medium
TKT00365,team support issue customer error api access,46,Tech,Medium
TKT00366,help issue team problem quotation pricing crash,22,Sales,High
TKT00367,problem support customer team issue server error subscription,57,Tech,Medium
TKT00368,help problem service issue system server error refund,60,Tech,Medium
TKT00369,help issue problem platform pricing upgrade charge,4,Sales,Medium
TKT00370,service problem request support refund payment upgrade,51,Billing,Medium
TKT00371,customer issue problem support authentication login demo,34,Account,Medium
TKT00372,service platform system upgrade quotation suggestion,41,Sales,Medium
TKT00373,service request team issue platform plan demo access,13,Sales,Medium
TKT00374,system customer service help request password login crash,1,Account,High
TKT00375,customer system problem support improvement feature charge,7,Feedback,Medium
TKT00376,system platform help problem access login server,28,Account,Medium
TKT00377,service support problem invoice refund improvement,36,Billing,Medium
TKT00378,service request system support issue api bug invoice,11,Tech,Medium
TKT00379,service system team authentication login experience,17,Account,Low
TKT00380,issue team request system support api bug improvement,46,Tech,Medium
TKT00381,team request help system issue api bug feature,36,Tech,Medium
TKT00382,service customer issue team error crash upgrade,31,Tech,High
TKT00383,support platform customer experience feature subscription,18,Feedback,Low
TKT00384,support problem request system subscription payment authentication,31,Billing,Medium
TKT00385,platform service request help suggestion experience charge,13,Feedback,Low
TKT00386,team system help pricing demo suggestion,58,Sales,Medium
TKT00387,service help customer platform invoice payment access,7,Billing,Low
TKT00388,request problem team charge invoice profile,29,Billing,Medium
TKT00389,issue team help subscription invoice login,46,Billing,Medium
TKT00390,service customer issue support review improvement subscription,56,Feedback,Medium
TKT00391,system team platform server crash quotation,57,Tech,High
TKT00392,help platform service customer request access login improvement,42,Account,Medium
TKT00393,request problem help access authentication invoice,15,Account,Medium
TKT00394,help support team improvement feature subscription,57,Feedback,Medium
TKT00395,system support issue help request login password refund,21,Account,Medium
TKT00396,team issue system experience feature access,49,Feedback,Medium
TKT00397,request team service issue error crash subscription,30,Tech,High
TKT00398,help system problem team platform experience review authentication,3,Feedback,Medium
TKT00399,request system problem pricing demo api,44,Sales,Medium
TKT00400,customer platform issue help service crash api invoice,23,Tech,High
TKT00401,support team service customer error server demo,28,Tech,Medium
TKT00402,support help service charge invoice server,55,Billing,Medium
TKT00403,platform help support issue system bug api review,6,Tech,Medium
TKT00404,service platform customer problem issue plan quotation invoice,5,Sales,Medium
TKT00405,customer support team error server plan,24,Tech,Medium
TKT00406,problem system team request charge refund pricing,34,Billing,Medium
TKT00407,team problem system error server plan,28,Tech,Medium
TKT00408,issue system support platform error bug upgrade,10,Account,Medium
TKT00409,customer request platform help team profile access improvement,32,Account,Medium
TKT00410,service request problem issue demo quotation experience,44,Sales,Medium
TKT00411,request issue team feature experience pricing,8,Feedback,Medium
TKT00412,platform issue service problem improvement review bug,1,Feedback,Medium
TKT00413,team platform issue support system pricing upgrade api,11,Sales,Medium
TKT00414,support customer system platform issue refund subscription password,27,Tech,Medium
TKT00415,help system team charge payment quotation,41,Billing,Medium
TKT00416,service platform system api crash pricing,13,Tech,High
TKT00417,help problem team error bug improvement,19,Tech,Medium
TKT00418,customer issue service help subscription invoice error,31,Billing,Medium
TKT00419,service support customer improvement feature password,45,Feedback,Medium
TKT00420,support service platform system quotation plan api,22,Billing,Low
TKT00421,problem platform service server bug login,47,Tech,Medium
TKT00422,help system service platform review improvement crash,58,Tech,High
TKT00423,support issue request error server invoice,27,Tech,Medium
TKT00424,issue system platform problem error api refund,24,Tech,Medium
TKT00425,system request team server crash login,24,Tech,High
TKT00426,customer problem help service refund subscription bug,50,Billing,Medium
TKT00427,team customer platform help problem login access crash,37,Account,High
TKT00428,team problem issue error crash login,49,Tech,High
TKT00429,team help issue experience suggestion demo,2,Feedback,Medium
TKT00430,help request system password profile bug,22,Account,Low
TKT00431,system platform request team profile password review,47,Account,Medium
TKT00432,platform service system help customer profile access upgrade,15,Account,Low
TKT00433,system request help team issue demo pricing experience,53,Sales,Medium
TKT00434,help system issue support crash error invoice,49,Tech,High
TKT00435,request issue help support service feature suggestion plan,47,Feedback,Medium
TKT00436,system request issue authentication access suggestion,49,Account,Medium
TKT00437,problem service platform quotation upgrade refund,29,Sales,Medium
TKT00438,help service team customer subscription refund improvement,45,Billing,Medium
TKT00439,problem request support system service payment invoice login,52,Billing,Medium
TKT00440,problem help system platform issue demo pricing bug,1,Sales,Medium
TKT00441,service team support help platform feature suggestion bug,30,Feedback,Medium
TKT00442,issue problem system request bug server invoice,59,Tech,Medium
TKT00443,help problem request service platform api crash experience,2,Tech,High
TKT00444,team customer issue help profile authentication review,52,Account,Medium
TKT00445,customer help support bug api subscription,35,Tech,Medium
TKT00446,team customer issue server crash review,3,Tech,High
TKT00447,platform issue problem help suggestion review quotation,34,Feedback,Medium
TKT00448,platform support service plan upgrade improvement,34,Sales,Medium
TKT00449,issue problem customer help support server crash feature,25,Tech,High
TKT00450,team help issue platform request password authentication demo,54,Account,Medium
TKT00451,request issue problem service support quotation pricing access,37,Sales,Medium
TKT00452,problem help request plan demo suggestion,59,Sales,Medium
TKT00453,support system service request customer authentication password api,3,Account,Low
TKT00454,help platform issue login profile pricing,24,Account,Medium
TKT00455,issue platform request help error bug refund,35,Tech,Medium
TKT00456,problem request system refund charge crash,11,Billing,High
TKT00457,platform system service plan demo invoice,27,Sales,Medium
TKT00458,service platform support customer pricing plan authentication,10,Sales,Low
TKT00459,platform support team api server feature,13,Tech,Low
TKT00460,platform help service customer quotation upgrade bug,16,Sales,Low
TKT00461,customer support team request access password subscription,43,Account,Medium
TKT00462,service platform problem review suggestion subscription,8,Feedback,Medium
TKT00463,problem customer issue crash error review,20,Tech,High
TKT00464,team platform customer request quotation plan subscription,35,Sales,Medium
TKT00465,customer issue service team upgrade plan review,4,Sales,Medium
TKT00466,platform system help team upgrade plan server,39,Sales,Medium
TKT00467,issue service system platform bug crash authentication,1,Tech,High
TKT00468,support system help team problem subscription payment demo,28,Billing,Medium
TKT00469,customer system problem issue charge refund experience,55,Billing,Medium
TKT00470,system help customer team support authentication profile crash,27,Account,High
TKT00471,issue problem request system service suggestion feature charge,29,Feedback,Medium
TKT00472,service problem system help issue pricing quotation suggestion,24,Sales,Medium
TKT00473,team issue service platform suggestion feature refund,2,Feedback,Medium
TKT00474,issue help problem customer platform upgrade pricing login,21,Sales,Medium
TKT00475,system request team authentication login payment,51,Account,Medium
TKT00476,team platform issue system demo plan suggestion,56,Sales,Medium
TKT00477,problem team support customer issue review suggestion password,25,Feedback,Medium
TKT00478,team service customer problem crash bug demo,31,Tech,High
TKT00479,service problem platform upgrade demo profile,9,Sales,Medium
TKT00480,platform problem service feature suggestion plan,12,Feedback,Medium
TKT00481,support help platform experience review server,8,Feedback,Low
TKT00482,problem issue team platform customer bug error access,42,Tech,Medium
TKT00483,request service issue support bug crash quotation,28,Tech,High
TKT00484,service request system crash server experience,33,Tech,High
TKT00485,problem support request issue customer improvement review password,3,Billing,Medium
TKT00486,team system customer help plan upgrade authentication,24,Feedback,Low
TKT00487,system team customer issue crash api profile,45,Tech,High
