ticket_id,ticket_text,customer_tenure_months,previous_tickets_count
TKT00085,I need assistance updating my account details and password.,57,2
TKT00086,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,21,2
TKT00087,I would like more information about pricing and subscription plans.,27,2
TKT00088,I was charged incorrectly and need clarification on my invoice.,56,3
TKT00089,I have suggestions to improve the usability of the product.,23,1
TKT00090,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,54,1
TKT00091,The application crashes frequently and shows unexpected errors.,24,2
TKT00092,I was charged incorrectly and need clarification on my invoice.,12,1
TKT00093,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,49,4
TKT00094,I was charged incorrectly and need clarification on my invoice.,25,2
TKT00095,I would like more information about pricing and subscription plans.,45,1
TKT00096,I would like more information about pricing and subscription plans.,24,4
TKT00097,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,52,1
TKT00098,I was charged incorrectly and need clarification on my invoice.,44,4
TKT00099,The application crashes frequently and shows unexpected errors.,34,2
TKT00100,I would like more information about pricing and subscription plans.,34,1
TKT00101,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,25,1
TKT00102,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,11,1
TKT00103,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,39,2
TKT00104,I need assistance updating my account details and password.,1,1
TKT00105,The application crashes frequently and shows unexpected errors.,46,1
TKT00106,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,5,1
TKT00107,I need assistance updating my account details and password.,28,1
TKT00108,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,32,3
TKT00109,I have suggestions to improve the usability of the product.,52,0
TKT00110,The application crashes frequently and shows unexpected errors.,31,1
TKT00111,I was charged incorrectly and need clarification on my invoice.,6,2
TKT00112,I need assistance updating my account details and password.,45,2
TKT00113,I was charged incorrectly and need clarification on my invoice.,2,3
TKT00114,I have suggestions to improve the usability of the product.,28,0
TKT00115,I need assistance updating my account details and password.,52,0
TKT00116,I would like more information about pricing and subscription plans.,3,2
TKT00117,I was charged incorrectly and need clarification on my invoice.,26,3
TKT00118,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,19,2
TKT00119,I was charged incorrectly and need clarification on my invoice.,1,2
TKT00120,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,17,0
TKT00121,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,49,1
TKT00122,I was charged incorrectly and need clarification on my invoice.,1,2
TKT00123,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,58,1
TKT00124,The application crashes frequently and shows unexpected errors.,59,5
TKT00125,I would like more information about pricing and subscription plans.,46,3
TKT00126,I would like more information about pricing and subscription plans.,52,3
TKT00127,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,26,1
TKT00128,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,35,3
TKT00129,The application crashes frequently and shows unexpected errors.,15,2
TKT00130,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,31,3
TKT00131,The application crashes frequently and shows unexpected errors.,2,2
TKT00132,I need assistance updating my account details and password.,37,2
TKT00133,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,32,3
TKT00134,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,46,4
TKT00135,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,34,1
TKT00136,The application crashes frequently and shows unexpected errors.,34,0
TKT00137,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,31,0
TKT00138,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,31,1
TKT00139,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,3,1
TKT00140,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,13,3
TKT00141,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,12,1
TKT00142,The application crashes frequently and shows unexpected errors.,39,3
TKT00143,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,41,4
TKT00144,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,16,2
TKT00145,I would like more information about pricing and subscription plans.,46,2
TKT00146,I would like more information about pricing and subscription plans.,23,2
TKT00147,I need assistance updating my account details and password.,29,3
TKT00148,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,28,3
TKT00149,I need assistance updating my account details and password.,55,0
TKT00150,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,7,4
TKT00151,I was charged incorrectly and need clarification on my invoice.,12,1
TKT00152,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,2,2
TKT00153,I need assistance updating my account details and password.,36,2
TKT00154,I have suggestions to improve the usability of the product.,31,3
TKT00155,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,27,2
TKT00156,I have suggestions to improve the usability of the product.,23,2
TKT00157,I was charged incorrectly and need clarification on my invoice.,34,2
TKT00158,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,31,2
TKT00159,I was charged incorrectly and need clarification on my invoice.,48,2
TKT00160,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,47,3
TKT00161,I was charged incorrectly and need clarification on my invoice.,38,2
TKT00162,The application crashes frequently and shows unexpected errors.,51,3
TKT00163,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,12,3
TKT00164,I need assistance updating my account details and password.,55,8
TKT00165,The application crashes frequently and shows unexpected errors.,55,3
TKT00166,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,13,3
TKT00167,I need assistance updating my account details and password.,15,3
TKT00168,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,29,1
TKT00169,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,8,2
TKT00170,I need assistance updating my account details and password.,27,4
TKT00171,I have suggestions to improve the usability of the product.,43,1
TKT00172,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,47,0
TKT00173,I would like more information about pricing and subscription plans.,46,0
TKT00174,I was charged incorrectly and need clarification on my invoice.,5,2
TKT00175,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,39,2
TKT00176,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,4,0
TKT00177,I need assistance updating my account details and password.,14,3
TKT00178,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,7,2
TKT00179,I have suggestions to improve the usability of the product.,28,2
TKT00180,The application crashes frequently and shows unexpected errors.,7,2
TKT00181,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,17,1
TKT00182,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,36,3
TKT00183,I have suggestions to improve the usability of the product.,51,0
TKT00184,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,24,1
TKT00185,I was charged incorrectly and need clarification on my invoice.,38,4
TKT00186,I need assistance updating my account details and password.,44,3
TKT00187,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,23,4
TKT00188,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,11,4
TKT00189,I would like more information about pricing and subscription plans.,18,3
TKT00190,I need assistance updating my account details and password.,45,3
TKT00191,I was charged incorrectly and need clarification on my invoice.,4,3
TKT00192,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,50,2
TKT00193,I need assistance updating my account details and password.,34,4
TKT00194,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,12,0
TKT00195,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,24,0
TKT00196,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,3,0
TKT00197,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,45,2
TKT00198,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,7,1
TKT00199,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,6,1
TKT00200,I need assistance updating my account details and password.,50,0
TKT00201,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,19,1
TKT00202,I need assistance updating my account details and password.,32,2
TKT00203,I need assistance updating my account details and password.,57,2
TKT00204,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,48,2
TKT00205,The application crashes frequently and shows unexpected errors.,24,2
TKT00206,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,58,0
TKT00207,I was charged incorrectly and need clarification on my invoice.,41,1
TKT00208,I need assistance updating my account details and password.,21,2
TKT00209,I have suggestions to improve the usability of the product.,6,1
TKT00210,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,55,3
TKT00211,I was charged incorrectly and need clarification on my invoice.,49,3
TKT00212,I would like more information about pricing and subscription plans.,20,5
TKT00213,The application crashes frequently and shows unexpected errors.,59,4
TKT00214,I was charged incorrectly and need clarification on my invoice.,12,2
TKT00215,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,37,1
TKT00216,I would like more information about pricing and subscription plans.,7,4
TKT00217,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,14,1
TKT00218,I would like more information about pricing and subscription plans.,30,2
TKT00219,I was charged incorrectly and need clarification on my invoice.,34,0
TKT00220,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,46,3
TKT00221,I would like more information about pricing and subscription plans.,20,2
TKT00222,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,33,0
TKT00223,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,49,1
TKT00224,The application crashes frequently and shows unexpected errors.,7,3
TKT00225,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,10,3
TKT00226,I need assistance updating my account details and password.,50,0
TKT00227,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,29,3
TKT00228,I would like more information about pricing and subscription plans.,2,3
TKT00229,The application crashes frequently and shows unexpected errors.,31,2
TKT00230,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,8,4
TKT00231,I need assistance updating my account details and password.,50,5
TKT00232,The application crashes frequently and shows unexpected errors.,24,5
TKT00233,I was charged incorrectly and need clarification on my invoice.,36,4
TKT00234,I would like more information about pricing and subscription plans.,49,1
TKT00235,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,38,2
TKT00236,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,3,1
TKT00237,I have suggestions to improve the usability of the product.,43,2
TKT00238,I have suggestions to improve the usability of the product.,37,3
TKT00239,I have suggestions to improve the usability of the product.,39,3
TKT00240,I was charged incorrectly and need clarification on my invoice.,20,0
TKT00241,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,27,1
TKT00242,I was charged incorrectly and need clarification on my invoice.,25,1
TKT00243,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,31,0
TKT00244,The application crashes frequently and shows unexpected errors.,50,1
TKT00245,The application crashes frequently and shows unexpected errors.,2,4
TKT00246,I need assistance updating my account details and password.,16,1
TKT00247,I need assistance updating my account details and password.,22,0
TKT00248,The application crashes frequently and shows unexpected errors.,1,4
TKT00249,I would like more information about pricing and subscription plans.,26,2
TKT00250,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,38,1
TKT00251,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,52,1
TKT00252,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,56,0
TKT00253,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,39,1
TKT00254,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,4,2
TKT00255,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,8,1
TKT00256,I would like more information about pricing and subscription plans.,56,1
TKT00257,I need assistance updating my account details and password.,56,2
TKT00258,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,11,0
TKT00259,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,27,2
TKT00260,I was charged incorrectly and need clarification on my invoice.,37,3
TKT00261,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,27,3
TKT00262,I was charged incorrectly and need clarification on my invoice.,2,1
TKT00263,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,55,1
TKT00264,The application crashes frequently and shows unexpected errors.,36,1
TKT00265,I have suggestions to improve the usability of the product.,56,3
TKT00266,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,39,2
TKT00267,I would like more information about pricing and subscription plans.,21,1
TKT00268,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,22,2
TKT00269,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,49,2
TKT00270,I would like more information about pricing and subscription plans.,13,3
TKT00271,I have suggestions to improve the usability of the product.,12,3
TKT00272,The application crashes frequently and shows unexpected errors.,33,2
TKT00273,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,27,3
TKT00274,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,18,0
TKT00275,I have suggestions to improve the usability of the product.,48,2
TKT00276,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,2,1
TKT00277,I was charged incorrectly and need clarification on my invoice.,32,2
TKT00278,I have suggestions to improve the usability of the product.,41,2
TKT00279,I have suggestions to improve the usability of the product.,12,1
TKT00280,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,22,1
TKT00281,I would like more information about pricing and subscription plans.,55,1
TKT00282,I would like more information about pricing and subscription plans.,43,3
TKT00283,I have suggestions to improve the usability of the product.,43,1
TKT00284,I would like more information about pricing and subscription plans.,13,1
TKT00285,I was charged incorrectly and need clarification on my invoice.,7,2
TKT00286,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,26,6
TKT00287,I have suggestions to improve the usability of the product.,58,2
TKT00288,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,37,2
TKT00289,I was charged incorrectly and need clarification on my invoice.,29,3
TKT00290,I was charged incorrectly and need clarification on my invoice.,42,5
TKT00291,I would like more information about pricing and subscription plans.,14,2
TKT00292,I would like more information about pricing and subscription plans.,53,3
TKT00293,I was charged incorrectly and need clarification on my invoice.,15,1
TKT00294,I was charged incorrectly and need clarification on my invoice.,9,0
TKT00295,The application crashes frequently and shows unexpected errors.,53,2
TKT00296,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,36,2
TKT00297,The application crashes frequently and shows unexpected errors.,18,4
TKT00298,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,15,2
TKT00299,I was charged incorrectly and need clarification on my invoice.,31,1
TKT00300,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,7,4
TKT00301,I was charged incorrectly and need clarification on my invoice.,26,1
TKT00302,I need assistance updating my account details and password.,35,2
TKT00303,I was charged incorrectly and need clarification on my invoice.,5,1
TKT00304,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,28,5
TKT00305,I need assistance updating my account details and password.,11,1
TKT00306,I would like more information about pricing and subscription plans.,32,4
TKT00307,I was charged incorrectly and need clarification on my invoice.,25,3
TKT00308,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,10,0
TKT00309,I need assistance updating my account details and password.,38,2
TKT00310,The application crashes frequently and shows unexpected errors.,35,2
TKT00311,I was charged incorrectly and need clarification on my invoice.,33,0
TKT00312,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,1,0
TKT00313,I was charged incorrectly and need clarification on my invoice.,41,3
TKT00314,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,38,1
TKT00315,The application crashes frequently and shows unexpected errors.,44,2
TKT00316,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,59,2
TKT00317,I need assistance updating my account details and password.,7,1
TKT00318,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,39,3
TKT00319,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,14,2
TKT00320,I need assistance updating my account details and password.,15,1
TKT00321,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,43,3
TKT00322,I would like more information about pricing and subscription plans.,4,0
TKT00323,I have suggestions to improve the usability of the product.,18,2
TKT00324,I would like more information about pricing and subscription plans.,26,1
TKT00325,I would like more information about pricing and subscription plans.,24,6
TKT00326,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,15,2
TKT00327,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,23,3
TKT00328,I have suggestions to improve the usability of the product.,59,1
TKT00329,I need assistance updating my account details and password.,9,3
TKT00330,I need assistance updating my account details and password.,5,4
TKT00331,I have suggestions to improve the usability of the product.,11,3
TKT00332,I need assistance updating my account details and password.,35,2
TKT00333,The application crashes frequently and shows unexpected errors.,49,1
TKT00334,I need assistance updating my account details and password.,59,3
TKT00335,I need assistance updating my account details and password.,4,1
TKT00336,I need assistance updating my account details and password.,6,3
TKT00337,The application crashes frequently and shows unexpected errors.,46,5
TKT00338,I have suggestions to improve the usability of the product.,5,2
TKT00339,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,23,2
TKT00340,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,47,2
TKT00341,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,59,1
TKT00342,I need assistance updating my account details and password.,59,3
TKT00343,The application crashes frequently and shows unexpected errors.,56,2
TKT00344,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,21,4
TKT00345,I would like more information about pricing and subscription plans.,44,3
TKT00346,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,49,1
TKT00347,I was charged incorrectly and need clarification on my invoice.,21,2
TKT00348,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,44,2
TKT00349,I need assistance updating my account details and password.,21,3
TKT00350,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,47,3
TKT00351,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,30,4
TKT00352,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,44,2
TKT00353,I need assistance updating my account details and password.,18,5
TKT00354,I was charged incorrectly and need clarification on my invoice.,39,2
TKT00355,I was charged incorrectly and need clarification on my invoice.,44,3
TKT00356,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,22,1
TKT00357,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,31,1
TKT00358,I would like more information about pricing and subscription plans.,1,1
TKT00359,I have suggestions to improve the usability of the product.,24,2
TKT00360,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,22,3
TKT00361,I need assistance updating my account details and password.,22,1
TKT00362,I was charged incorrectly and need clarification on my invoice.,43,3
TKT00363,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,51,3
TKT00364,I would like more information about pricing and subscription plans.,20,0
TKT00365,I have suggestions to improve the usability of the product.,40,1
TKT00366,I would like more information about pricing and subscription plans.,32,2
TKT00367,I need assistance updating my account details and password.,43,3
TKT00368,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,23,2
TKT00369,I was charged incorrectly and need clarification on my invoice.,59,3
TKT00370,I was charged incorrectly and need clarification on my invoice.,53,2
TKT00371,I have suggestions to improve the usability of the product.,51,4
TKT00372,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,44,1
TKT00373,The application crashes frequently and shows unexpected errors.,55,3
TKT00374,I have suggestions to improve the usability of the product.,40,0
TKT00375,I have suggestions to improve the usability of the product.,37,1
TKT00376,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,55,1
TKT00377,I need assistance updating my account details and password.,33,2
TKT00378,I need assistance updating my account details and password.,41,1
TKT00379,I have suggestions to improve the usability of the product.,52,2
TKT00380,I have suggestions to improve the usability of the product.,49,2
TKT00381,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,33,1
TKT00382,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,29,3
TKT00383,I have suggestions to improve the usability of the product.,15,1
TKT00384,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,14,4
TKT00385,I would like more information about pricing and subscription plans.,7,3
TKT00386,I have suggestions to improve the usability of the product.,51,4
TKT00387,I need assistance updating my account details and password.,9,4
TKT00388,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,52,6
TKT00389,I was charged incorrectly and need clarification on my invoice.,6,2
TKT00390,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,5,2
TKT00391,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,22,3
TKT00392,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,55,1
TKT00393,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,18,0
TKT00394,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,56,4
TKT00395,I was charged incorrectly and need clarification on my invoice.,10,0
TKT00396,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,18,2
TKT00397,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,33,1
TKT00398,I need assistance updating my account details and password.,47,0
TKT00399,The application crashes frequently and shows unexpected errors.,38,0
TKT00400,I would like more information about pricing and subscription plans.,59,3
TKT00401,The application crashes frequently and shows unexpected errors.,10,3
TKT00402,I have suggestions to improve the usability of the product.,20,4
TKT00403,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,22,6
TKT00404,I would like more information about pricing and subscription plans.,4,1
TKT00405,I need assistance updating my account details and password.,32,2
TKT00406,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,57,1
TKT00407,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,40,3
TKT00408,I need assistance updating my account details and password.,3,3
