ticket_id,department,priority
TKT00178,Account Management,Medium
TKT00179,Product Feedback,Medium
TKT00180,Technical Support,Low
TKT00181,Technical Support,High
TKT00182,Billing,Medium
TKT00183,Product Feedback,Medium
TKT00184,Account Management,Medium
TKT00185,Billing,Medium
TKT00186,Account Management,Low
TKT00187,Sales,High
TKT00188,Sales,Medium
TKT00189,Sales,Low
TKT00190,Account Management,Medium
TKT00191,Billing,High
TKT00192,Account Management,Medium
TKT00193,Account Management,Medium
TKT00194,Billing,Medium
TKT00195,Billing,Medium
TKT00196,Billing,Low
TKT00197,Sales,Medium
TKT00198,Billing,Medium
TKT00199,Technical Support,Low
TKT00200,Account Management,Low
TKT00201,Technical Support,High
TKT00202,Account Management,Low
TKT00203,Account Management,Medium
TKT00204,Product Feedback,Medium
TKT00205,Technical Support,Low
TKT00206,Billing,Medium
TKT00207,Billing,Medium
TKT00208,Account Management,High
TKT00209,Product Feedback,Medium
TKT00210,Sales,Low
TKT00211,Billing,Low
TKT00212,Sales,Medium
TKT00213,Technical Support,Medium
TKT00214,Billing,Medium
TKT00215,Account Management,Low
TKT00216,Sales,Low
TKT00217,Technical Support,Low
TKT00218,Sales,High
TKT00219,Billing,Low
TKT00220,Technical Support,Medium
TKT00221,Sales,Low
TKT00222,Account Management,Low
TKT00223,Billing,Medium
TKT00224,Technical Support,Medium
TKT00225,Account Management,Low
TKT00226,Account Management,Low
TKT00227,Sales,High
TKT00228,Sales,Low
TKT00229,Technical Support,Medium
TKT00230,Billing,High
TKT00231,Account Management,Medium
TKT00232,Technical Support,Medium
TKT00233,Billing,Low
TKT00234,Sales,Low
TKT00235,Technical Support,Low
TKT00236,Billing,Low
TKT00237,Product Feedback,Low
TKT00238,Product Feedback,Medium
TKT00239,Product Feedback,Low
TKT00240,Billing,Medium
TKT00241,Product Feedback,High
TKT00242,Billing,Medium
TKT00243,Sales,Medium
TKT00244,Technical Support,Low
TKT00245,Technical Support,Medium
TKT00246,Account Management,Low
TKT00247,Account Management,Low
TKT00248,Technical Support,Low
TKT00249,Sales,Low
TKT00250,Product Feedback,Medium
TKT00251,Product Feedback,Low
TKT00252,Product Feedback,Low
TKT00253,Account Management,Medium
TKT00254,Sales,High
TKT00255,Account Management,Low
TKT00256,Sales,Medium
TKT00257,Account Management,High
TKT00258,Account Management,High
TKT00259,Product Feedback,High
TKT00260,Billing,Medium
TKT00261,Technical Support,High
TKT00262,Billing,Medium
TKT00263,Technical Support,Medium
TKT00264,Technical Support,Medium
TKT00265,Product Feedback,Medium
TKT00266,Account Management,Medium
TKT00267,Sales,Low
TKT00268,Product Feedback,Medium
TKT00269,Billing,Medium
TKT00270,Sales,Medium
TKT00271,Product Feedback,Low
TKT00272,Technical Support,Low
TKT00273,Product Feedback,Low
TKT00274,Technical Support,High
TKT00275,Product Feedback,Medium
TKT00276,Billing,Low
TKT00277,Billing,Medium
TKT00278,Product Feedback,Low
TKT00279,Product Feedback,Medium
TKT00280,Product Feedback,Low
TKT00281,Sales,Medium
TKT00282,Sales,High
TKT00283,Product Feedback,High
TKT00284,Sales,Medium
TKT00285,Billing,Low
TKT00286,Sales,Low
TKT00287,Product Feedback,Low
TKT00288,Product Feedback,Low
TKT00289,Billing,Medium
TKT00290,Billing,Low
TKT00291,Sales,Low
TKT00292,Sales,Medium
TKT00293,Billing,High
TKT00294,Billing,Medium
TKT00295,Technical Support,Medium
TKT00296,Account Management,Low
TKT00297,Technical Support,Medium
TKT00298,Billing,Low
TKT00299,Billing,Low
TKT00300,Billing,Medium
TKT00301,Billing,Medium
TKT00302,Account Management,Medium
TKT00303,Billing,Medium
TKT00304,Account Management,Low
TKT00305,Account Management,Medium
TKT00306,Sales,Medium
TKT00307,Billing,Low
TKT00308,Billing,High
TKT00309,Account Management,Medium
TKT00310,Technical Support,High
TKT00311,Billing,Low
TKT00312,Technical Support,High
TKT00313,Billing,High
TKT00314,Billing,Low
TKT00315,Technical Support,Medium
TKT00316,Product Feedback,Medium
TKT00317,Account Management,Medium
TKT00318,Billing,Medium
TKT00319,Technical Support,Low
TKT00320,Account Management,Medium
TKT00321,Billing,Medium
TKT00322,Sales,High
TKT00323,Product Feedback,Medium
TKT00324,Sales,Low
TKT00325,Sales,Low
TKT00326,Product Feedback,Medium
TKT00327,Billing,Low
TKT00328,Product Feedback,Low
TKT00329,Account Management,Medium
TKT00330,Account Management,Medium
TKT00331,Product Feedback,Low
TKT00332,Account Management,Low
TKT00333,Technical Support,Low
TKT00334,Account Management,High
TKT00335,Account Management,Medium
TKT00336,Account Management,Medium
TKT00337,Technical Support,Low
TKT00338,Product Feedback,Medium
TKT00339,Billing,Low
TKT00340,Product Feedback,Medium
TKT00341,Product Feedback,High
TKT00342,Account Management,High
TKT00343,Technical Support,Medium
TKT00344,Sales,Medium
TKT00345,Sales,Medium
TKT00346,Sales,High
TKT00347,Billing,High
TKT00348,Product Feedback,Low
TKT00349,Account Management,Low
TKT00350,Sales,Medium
TKT00351,Billing,Low
TKT00352,Technical Support,Low
TKT00353,Account Management,Medium
TKT00354,Billing,Low
TKT00355,Billing,High
TKT00356,Sales,Medium
TKT00357,Account Management,Medium
TKT00358,Sales,Low
TKT00359,Product Feedback,Medium
TKT00360,Account Management,Low
TKT00361,Account Management,Medium
TKT00362,Billing,High
TKT00363,Technical Support,Low
TKT00364,Sales,Medium
TKT00365,Product Feedback,Medium
TKT00366,Sales,Low
TKT00367,Account Management,Low
TKT00368,Account Management,Medium
TKT00369,Billing,Medium
TKT00370,Billing,Low
TKT00371,Product Feedback,Medium
TKT00372,Product Feedback,Medium
TKT00373,Technical Support,Medium
TKT00374,Product Feedback,Medium
TKT00375,Product Feedback,Low
TKT00376,Sales,Low
TKT00377,Account Management,Medium
TKT00378,Account Management,Low
TKT00379,Product Feedback,Low
TKT00380,Product Feedback,Low
TKT00381,Sales,Medium
TKT00382,Technical Support,Low
TKT00383,Product Feedback,High
TKT00384,Sales,Medium
TKT00385,Sales,Medium
TKT00386,Product Feedback,Medium
TKT00387,Account Management,Medium
TKT00388,Sales,Low
TKT00389,Billing,Low
TKT00390,Product Feedback,Medium
TKT00391,Account Management,Low
TKT00392,Technical Support,Medium
TKT00393,Sales,High
TKT00394,Technical Support,High
TKT00395,Billing,Low
TKT00396,Account Management,Low
TKT00397,Billing,High
TKT00398,Account Management,Low
TKT00399,Technical Support,High
TKT00400,Sales,Low
TKT00401,Technical Support,Medium
TKT00402,Product Feedback,Low
TKT00403,Billing,Low
TKT00404,Sales,Medium
TKT00405,Account Management,Low
TKT00406,Account Management,Medium
TKT00407,Technical Support,Medium
TKT00408,Account Management,Low
TKT00409,Billing,Low
TKT00410,Account Management,Medium
TKT00411,Account Management,Medium
TKT00412,Account Management,Medium
TKT00413,Sales,Medium
TKT00414,Product Feedback,Low
TKT00415,Product Feedback,Low
TKT00416,Sales,High
TKT00417,Product Feedback,High
TKT00418,Product Feedback,High
TKT00419,Technical Support,Medium
TKT00420,Billing,Low
TKT00421,Sales,Medium
TKT00422,Billing,Medium
TKT00423,Technical Support,Medium
TKT00424,Product Feedback,Medium
TKT00425,Product Feedback,Low
TKT00426,Product Feedback,Low
TKT00427,Account Management,Low
TKT00428,Sales,High
TKT00429,Product Feedback,Low
TKT00430,Billing,Low
TKT00431,Account Management,Low
TKT00432,Billing,High
TKT00433,Billing,Low
TKT00434,Technical Support,High
TKT00435,Billing,Low
TKT00436,Product Feedback,Medium
TKT00437,Account Management,Low
TKT00438,Sales,High
TKT00439,Technical Support,Low
TKT00440,Technical Support,Low
TKT00441,Billing,High
TKT00442,Account Management,Low
TKT00443,Billing,Medium
TKT00444,Sales,Low
TKT00445,Product Feedback,Low
TKT00446,Product Feedback,Medium
TKT00447,Technical Support,Low
TKT00448,Product Feedback,Low
TKT00449,Product Feedback,Low
TKT00450,Account Management,Low
TKT00451,Product Feedback,Medium
TKT00452,Technical Support,Low
TKT00453,Account Management,High
TKT00454,Sales,Low
TKT00455,Billing,Medium
TKT00456,Sales,Medium
TKT00457,Product Feedback,Medium
TKT00458,Billing,Medium
TKT00459,Technical Support,Low
TKT00460,Billing,Low
TKT00461,Account Management,High
TKT00462,Billing,High
TKT00463,Technical Support,Medium
TKT00464,Technical Support,Low
TKT00465,Billing,High
TKT00466,Sales,Low
TKT00467,Technical Support,Medium
TKT00468,Product Feedback,High
TKT00469,Technical Support,High
TKT00470,Account Management,Low
TKT00471,Product Feedback,Low
TKT00472,Sales,High
TKT00473,Product Feedback,Low
TKT00474,Account Management,Medium
TKT00475,Account Management,High
TKT00476,Account Management,Low
TKT00477,Account Management,High
TKT00478,Sales,Low
TKT00479,Account Management,Medium
TKT00480,Sales,Medium
TKT00481,Account Management,High
TKT00482,Technical Support,Low
TKT00483,Account Management,High
TKT00484,Sales,Medium
TKT00485,Technical Support,Low
TKT00486,Billing,Medium
TKT00487,Billing,Low
TKT00488,Account Management,Medium
TKT00489,Product Feedback,Medium
TKT00490,Account Management,Medium
TKT00491,Sales,Medium
TKT00492,Account Management,Low
TKT00493,Sales,Low
TKT00494,Billing,High
TKT00495,Product Feedback,Medium
TKT00496,Technical Support,Medium
TKT00497,Account Management,High
TKT00498,Account Management,Medium
TKT00499,Product Feedback,Medium
TKT00500,Product Feedback,Low
TKT00501,Product Feedback,Medium
TKT00502,Account Management,Low
TKT00503,Billing,Medium
TKT00504,Sales,High
TKT00505,Product Feedback,Medium
TKT00506,Billing,Medium
TKT00507,Account Management,Medium
TKT00508,Account Management,High
TKT00509,Product Feedback,High
TKT00510,Product Feedback,Low
TKT00511,Account Management,Medium
TKT00512,Technical Support,Low
TKT00513,Product Feedback,Low
TKT00514,Account Management,Medium
TKT00515,Product Feedback,High
TKT00516,Technical Support,Low
TKT00517,Technical Support,Medium
TKT00518,Technical Support,Low
TKT00519,Account Management,Low
TKT00520,Account Management,Medium
TKT00521,Sales,Medium
TKT00522,Product Feedback,Medium
TKT00523,Account Management,Low
TKT00524,Technical Support,Medium
TKT00525,Account Management,High
TKT00526,Technical Support,High
TKT00527,Billing,Low
TKT00528,Sales,Medium
TKT00529,Product Feedback,High
TKT00530,Sales,Medium
TKT00531,Product Feedback,Medium
TKT00532,Billing,Low
TKT00533,Technical Support,Low
TKT00534,Sales,Low
TKT00535,Sales,High
TKT00536,Product Feedback,Low
TKT00537,Sales,Low
TKT00538,Sales,Medium
TKT00539,Billing,Medium
TKT00540,Account Management,Medium
TKT00541,Billing,Medium
TKT00542,Sales,Medium
TKT00543,Product Feedback,Medium
TKT00544,Product Feedback,Medium
TKT00545,Technical Support,Low
TKT00546,Technical Support,High
TKT00547,Technical Support,Medium
TKT00548,Technical Support,Low
TKT00549,Account Management,Low
TKT00550,Product Feedback,Low
TKT00551,Product Feedback,Low
TKT00552,Technical Support,High
TKT00553,Billing,Medium
TKT00554,Product Feedback,Medium
TKT00555,Billing,Low
TKT00556,Technical Support,Medium
TKT00557,Account Management,Low
TKT00558,Product Feedback,Medium
TKT00559,Technical Support,High
TKT00560,Technical Support,High
TKT00561,Product Feedback,Medium
TKT00562,Billing,Medium
TKT00563,Billing,High
TKT00564,Billing,Low
TKT00565,Technical Support,Medium
TKT00566,Sales,Medium
TKT00567,Billing,Low
TKT00568,Account Management,High
TKT00569,Account Management,Medium
TKT00570,Sales,Low
TKT00571,Product Feedback,Low
TKT00572,Account Management,Medium
TKT00573,Account Management,Low
TKT00574,Product Feedback,Medium
TKT00575,Technical Support,Medium
TKT00576,Technical Support,Low
TKT00577,Sales,Low
TKT00578,Technical Support,Low
TKT00579,Account Management,High
TKT00580,Account Management,Low
TKT00581,Billing,Medium
TKT00582,Account Management,Low
TKT00583,Account Management,High
TKT00584,Account Management,High
TKT00585,Account Management,Medium
TKT00586,Billing,High
TKT00587,Product Feedback,Medium
TKT00588,Account Management,Medium
TKT00589,Account Management,Low
TKT00590,Technical Support,Low
TKT00591,Sales,High
TKT00592,Technical Support,Low
TKT00593,Sales,Medium
TKT00594,Account Management,Low
TKT00595,Sales,Medium
TKT00596,Sales,Low
TKT00597,Technical Support,Low
TKT00598,Product Feedback,Low
TKT00599,Technical Support,High
TKT00600,Product Feedback,Medium
TKT00601,Product Feedback,Medium
TKT00602,Technical Support,Medium
TKT00603,Technical Support,Medium
TKT00604,Account Management,Low
TKT00605,Sales,Medium
TKT00606,Product Feedback,Low
TKT00607,Technical Support,Low
TKT00608,Account Management,Low
TKT00609,Technical Support,High
TKT00610,Billing,High
TKT00611,Account Management,Low
TKT00612,Technical Support,Medium
TKT00613,Technical Support,Low
TKT00614,Product Feedback,Medium
TKT00615,Account Management,Medium
TKT00616,Product Feedback,Medium
TKT00617,Billing,Medium
TKT00618,Technical Support,Medium
TKT00619,Billing,High
TKT00620,Product Feedback,Medium
TKT00621,Product Feedback,Low
TKT00622,Billing,Low
TKT00623,Product Feedback,Medium
TKT00624,Account Management,Low
TKT00625,Billing,Medium
TKT00626,Product Feedback,Low
TKT00627,Product Feedback,High
TKT00628,Technical Support,Low
TKT00629,Account Management,Medium
TKT00630,Billing,Medium
TKT00631,Billing,Low
TKT00632,Billing,Low
TKT00633,Technical Support,Low
TKT00634,Technical Support,Low
TKT00635,Account Management,Medium
TKT00636,Product Feedback,Low
TKT00637,Product Feedback,Low
TKT00638,Sales,Low
TKT00639,Account Management,Medium
TKT00640,Account Management,Low
TKT00641,Sales,Medium
TKT00642,Billing,Medium
TKT00643,Account Management,Medium
TKT00644,Account Management,High
TKT00645,Product Feedback,Low
TKT00646,Technical Support,Medium
TKT00647,Product Feedback,Low
TKT00648,Sales,Low
TKT00649,Account Management,Medium
TKT00650,Account Management,Low
TKT00651,Sales,Low
TKT00652,Billing,Medium
TKT00653,Sales,Low
TKT00654,Product Feedback,Low
TKT00655,Technical Support,Medium
TKT00656,Account Management,Low
TKT00657,Billing,Medium
TKT00658,Account Management,Medium
TKT00659,Account Management,High
TKT00660,Technical Support,High
TKT00661,Product Feedback,Medium
TKT00662,Account Management,Low
TKT00663,Sales,High
TKT00664,Sales,Medium
TKT00665,Product Feedback,Medium
TKT00666,Product Feedback,Low
TKT00667,Sales,High
TKT00668,Product Feedback,High
TKT00669,Billing,Low
TKT00670,Product Feedback,Low
TKT00671,Product Feedback,High
TKT00672,Product Feedback,Medium
TKT00673,Account Management,Low
TKT00674,Product Feedback,Low
TKT00675,Product Feedback,High
TKT00676,Billing,Low
TKT00677,Product Feedback,High
TKT00678,Technical Support,Low
TKT00679,Account Management,Low
TKT00680,Technical Support,High
TKT00681,Account Management,Low
TKT00682,Sales,Low
TKT00683,Product Feedback,High
TKT00684,Technical Support,Low
TKT00685,Sales,Medium
TKT00686,Account Management,Low
TKT00687,Technical Support,Medium
TKT00688,Sales,High
TKT00689,Product Feedback,High
TKT00690,Product Feedback,Medium
TKT00691,Billing,High
TKT00692,Billing,High
TKT00693,Sales,Medium
TKT00694,Account Management,Low
TKT00695,Account Management,Low
TKT00696,Product Feedback,Low
TKT00697,Account Management,High
TKT00698,Sales,Low
TKT00699,Product Feedback,Medium
TKT00700,Account Management,Medium
TKT00701,Technical Support,Medium
TKT00702,Billing,Medium
TKT00703,Sales,Medium
TKT00704,Billing,Low
TKT00705,Billing,High
TKT00706,Technical Support,Medium
TKT00707,Billing,Medium
TKT00708,Billing,Medium
TKT00709,Account Management,Low
TKT00710,Technical Support,Low
TKT00711,Technical Support,Low
TKT00712,Billing,Medium
TKT00713,Sales,Medium
TKT00714,Sales,Low
TKT00715,Product Feedback,Low
TKT00716,Technical Support,Low
TKT00717,Account Management,High
TKT00718,Product Feedback,Medium
TKT00719,Billing,Low
TKT00720,Account Management,Low
TKT00721,Billing,Low
TKT00722,Product Feedback,Low
TKT00723,Technical Support,High
TKT00724,Billing,High
TKT00725,Billing,Medium
TKT00726,Product Feedback,Low
TKT00727,Account Management,Low
TKT00728,Sales,High
TKT00729,Billing,Medium
TKT00730,Technical Support,Low
TKT00731,Product Feedback,Low
TKT00732,Billing,High
TKT00733,Billing,High
TKT00734,Billing,Medium
TKT00735,Technical Support,Low
TKT00736,Billing,Low
TKT00737,Sales,Medium
TKT00738,Account Management,Low
TKT00739,Product Feedback,Low
TKT00740,Technical Support,High
TKT00741,Product Feedback,Low
TKT00742,Technical Support,Medium
TKT00743,Account Management,Medium
TKT00744,Billing,Medium
TKT00745,Technical Support,Medium
TKT00746,Product Feedback,Low
TKT00747,Account Management,High
TKT00748,Sales,Low
TKT00749,Technical Support,Low
TKT00750,Billing,Low
TKT00751,Technical Support,Medium
TKT00752,Product Feedback,Medium
TKT00753,Sales,Low
TKT00754,Product Feedback,High
TKT00755,Product Feedback,Medium
TKT00756,Account Management,Low
TKT00757,Product Feedback,Medium
TKT00758,Account Management,Medium
TKT00759,Billing,Medium
TKT00760,Product Feedback,High
TKT00761,Sales,Medium
TKT00762,Product Feedback,Medium
TKT00763,Billing,Medium
TKT00764,Technical Support,Low
TKT00765,Sales,Low
TKT00766,Billing,Medium
TKT00767,Account Management,Medium
TKT00768,Billing,Medium
TKT00769,Billing,Low
TKT00770,Product Feedback,Low
TKT00771,Sales,Low
TKT00772,Product Feedback,Medium
TKT00773,Product Feedback,Medium
TKT00774,Product Feedback,Low
TKT00775,Product Feedback,Medium
TKT00776,Billing,Low
TKT00777,Account Management,Low
TKT00778,Billing,Low
TKT00779,Account Management,Medium
TKT00780,Account Management,Medium
TKT00781,Account Management,Medium
TKT00782,Billing,Low
TKT00783,Account Management,High
TKT00784,Sales,Low
TKT00785,Sales,High
TKT00786,Sales,High
TKT00787,Billing,Low
TKT00788,Sales,Low
TKT00789,Technical Support,Low
TKT00790,Billing,High
TKT00791,Billing,High
TKT00792,Billing,Medium
TKT00793,Account Management,Low
TKT00794,Technical Support,Low
TKT00795,Product Feedback,High
TKT00796,Sales,High
TKT00797,Product Feedback,Low
TKT00798,Account Management,Low
TKT00799,Technical Support,Medium
TKT00800,Billing,Medium
TKT00801,Sales,Medium
TKT00802,Product Feedback,High
TKT00803,Product Feedback,High
TKT00804,Account Management,Low
TKT00805,Product Feedback,Low
TKT00806,Technical Support,Low
TKT00807,Technical Support,Medium
TKT00808,Sales,Medium
TKT00809,Account Management,Medium
TKT00810,Product Feedback,High
TKT00811,Account Management,Low
TKT00812,Sales,Low
TKT00813,Sales,Low
TKT00814,Account Management,Low
TKT00815,Account Management,High
TKT00816,Sales,High
TKT00817,Billing,Low
TKT00818,Technical Support,High
TKT00819,Product Feedback,Medium
TKT00820,Sales,Low
TKT00821,Sales,Low
TKT00822,Sales,High
TKT00823,Sales,Low
TKT00824,Technical Support,Low
TKT00825,Technical Support,Medium
TKT00826,Account Management,High
TKT00827,Account Management,High
TKT00828,Product Feedback,Low
TKT00829,Billing,Low
TKT00830,Technical Support,High
TKT00831,Billing,Medium
TKT00832,Product Feedback,High
TKT00833,Technical Support,Low
TKT00834,Technical Support,Medium
TKT00835,Product Feedback,High
TKT00836,Account Management,Medium
TKT00837,Technical Support,Low
TKT00838,Technical Support,Low
TKT00839,Account Management,Medium
TKT00840,Technical Support,Medium
TKT00841,Sales,Medium
TKT00842,Billing,Medium
TKT00843,Technical Support,Medium
TKT00844,Product Feedback,Medium
TKT00845,Technical Support,Medium
TKT00846,Account Management,Low
TKT00847,Billing,Medium
TKT00848,Account Management,High
TKT00849,Sales,Medium
TKT00850,Account Management,Medium
TKT00851,Account Management,Low
TKT00852,Billing,Low
TKT00853,Account Management,Low
TKT00854,Sales,Low
TKT00855,Account Management,High
TKT00856,Product Feedback,Low
TKT00857,Product Feedback,Medium
TKT00858,Account Management,High
TKT00859,Sales,Medium
TKT00860,Technical Support,Medium
TKT00861,Sales,High
TKT00862,Sales,Low
TKT00863,Account Management,Medium
TKT00864,Product Feedback,Low
TKT00865,Technical Support,Medium
TKT00866,Account Management,High
TKT00867,Sales,High
TKT00868,Product Feedback,Low
TKT00869,Product Feedback,Low
TKT00870,Technical Support,Low
TKT00871,Product Feedback,High
TKT00872,Technical Support,Low
TKT00873,Billing,Medium
TKT00874,Sales,Low
TKT00875,Product Feedback,Medium
TKT00876,Billing,Medium
TKT00877,Sales,High
TKT00878,Product Feedback,Medium
TKT00879,Product Feedback,Medium
TKT00880,Sales,Low
TKT00881,Technical Support,Medium
TKT00882,Billing,Medium
TKT00883,Product Feedback,Medium
TKT00884,Account Management,Low
TKT00885,Billing,High
TKT00886,Product Feedback,High
TKT00887,Technical Support,Low
TKT00888,Billing,Low
TKT00889,Billing,Medium
TKT00890,Sales,Low
TKT00891,Billing,Low
TKT00892,Sales,Low
TKT00893,Product Feedback,Medium
TKT00894,Account Management,Medium
TKT00895,Product Feedback,High
TKT00896,Sales,Low
TKT00897,Billing,High
TKT00898,Billing,Low
TKT00899,Product Feedback,Medium
TKT00900,Sales,Low
TKT00901,Product Feedback,High
TKT00902,Billing,Medium
TKT00903,Product Feedback,Medium
TKT00904,Product Feedback,Low
TKT00905,Billing,High
TKT00906,Sales,High
TKT00907,Product Feedback,Low
TKT00908,Sales,Medium
TKT00909,Sales,High
TKT00910,Account Management,Low
TKT00911,Technical Support,Low
TKT00912,Billing,High
TKT00913,Billing,Medium
TKT00914,Product Feedback,Low
TKT00915,Product Feedback,High
TKT00916,Technical Support,Medium
TKT00917,Technical Support,Low
TKT00918,Technical Support,Medium
TKT00919,Sales,Low
TKT00920,Technical Support,Low
TKT00921,Technical Support,Low
TKT00922,Account Management,Low
TKT00923,Billing,Low
TKT00924,Product Feedback,Medium
TKT00925,Account Management,Low
TKT00926,Account Management,Low
TKT00927,Technical Support,High
TKT00928,Technical Support,High
TKT00929,Billing,Low
TKT00930,Sales,Low
TKT00931,Product Feedback,Medium
TKT00932,Technical Support,Low
TKT00933,Sales,Low
TKT00934,Account Management,Low
TKT00935,Sales,Low
TKT00936,Product Feedback,High
TKT00937,Billing,Medium
TKT00938,Product Feedback,Low
TKT00939,Product Feedback,Medium
TKT00940,Account Management,Low
TKT00941,Sales,Low
TKT00942,Billing,Low
TKT00943,Product Feedback,Low
TKT00944,Account Management,Low
TKT00945,Billing,Medium
TKT00946,Product Feedback,Medium
TKT00947,Sales,Low
TKT00948,Product Feedback,Low
TKT00949,Sales,High
TKT00950,Technical Support,Low
TKT00951,Product Feedback,Medium
TKT00952,Account Management,High
TKT00953,Account Management,Medium
TKT00954,Billing,Low
TKT00955,Technical Support,Low
TKT00956,Account Management,Medium
TKT00957,Billing,Low
TKT00958,Billing,Medium
TKT00959,Technical Support,Medium
TKT00960,Technical Support,Medium
TKT00961,Billing,High
TKT00962,Product Feedback,High
TKT00963,Technical Support,Medium
TKT00964,Technical Support,Medium
TKT00965,Product Feedback,Medium
